,date,unemployment,monthly,inflation,economy
0,2018-04-01,4,2018-04-01,,
1,2018-04-01,4,2018-04-01,26.0,
2,2018-04-08,4,2018-04-01,,
3,2018-04-08,4,2018-04-01,31.0,
4,2018-04-15,4,2018-04-01,,
5,2018-04-15,4,2018-04-01,29.0,
6,2018-04-22,4,2018-04-01,,
7,2018-04-22,4,2018-04-01,30.0,
8,2018-04-29,4,2018-04-01,,
9,2018-04-29,4,2018-04-01,31.0,
10,2018-05-06,4,2018-05-01,,
11,2018-05-06,4,2018-05-01,28.0,
12,2018-05-13,4,2018-05-01,,
13,2018-05-13,4,2018-05-01,26.0,
14,2018-05-20,4,2018-05-01,,
15,2018-05-20,4,2018-05-01,22.0,
16,2018-05-27,4,2018-05-01,,
17,2018-05-27,4,2018-05-01,21.0,
18,2018-06-03,4,2018-06-01,,
19,2018-06-03,4,2018-06-01,19.0,
20,2018-06-10,4,2018-06-01,,
21,2018-06-10,4,2018-06-01,20.0,
22,2018-06-17,3,2018-06-01,,
23,2018-06-17,3,2018-06-01,17.0,
24,2018-06-24,4,2018-06-01,,
25,2018-06-24,4,2018-06-01,18.0,
26,2018-07-01,4,2018-07-01,,
27,2018-07-01,4,2018-07-01,17.0,
28,2018-07-08,4,2018-07-01,,
29,2018-07-08,4,2018-07-01,18.0,
30,2018-07-15,4,2018-07-01,,
31,2018-07-15,4,2018-07-01,18.0,
32,2018-07-22,4,2018-07-01,,
33,2018-07-22,4,2018-07-01,21.0,
34,2018-07-29,4,2018-07-01,,
35,2018-07-29,4,2018-07-01,21.0,
36,2018-08-05,4,2018-08-01,,
37,2018-08-05,4,2018-08-01,19.0,
38,2018-08-12,4,2018-08-01,,
39,2018-08-12,4,2018-08-01,19.0,
40,2018-08-19,3,2018-08-01,,
41,2018-08-19,3,2018-08-01,18.0,
42,2018-08-26,3,2018-08-01,,
43,2018-08-26,3,2018-08-01,21.0,
44,2018-09-02,3,2018-09-01,,
45,2018-09-02,3,2018-09-01,23.0,
46,2018-09-09,4,2018-09-01,,
47,2018-09-09,4,2018-09-01,27.0,
48,2018-09-16,4,2018-09-01,,
49,2018-09-16,4,2018-09-01,27.0,
50,2018-09-23,4,2018-09-01,,
51,2018-09-23,4,2018-09-01,28.0,
52,2018-09-30,4,2018-09-01,,
53,2018-09-30,4,2018-09-01,29.0,
54,2018-10-07,4,2018-10-01,,
55,2018-10-07,4,2018-10-01,31.0,
56,2018-10-14,4,2018-10-01,,
57,2018-10-14,4,2018-10-01,27.0,
58,2018-10-21,4,2018-10-01,,
59,2018-10-21,4,2018-10-01,27.0,
60,2018-10-28,4,2018-10-01,,
61,2018-10-28,4,2018-10-01,28.0,
62,2018-11-04,4,2018-11-01,,
63,2018-11-04,4,2018-11-01,27.0,
64,2018-11-11,4,2018-11-01,,
65,2018-11-11,4,2018-11-01,29.0,
66,2018-11-18,4,2018-11-01,,
67,2018-11-18,4,2018-11-01,23.0,
68,2018-11-25,4,2018-11-01,,
69,2018-11-25,4,2018-11-01,31.0,
70,2018-12-02,4,2018-12-01,,
71,2018-12-02,4,2018-12-01,31.0,
72,2018-12-09,4,2018-12-01,,
